final_evidence_rank,vessel_name,mmsi,final_evidence_score,validated_attribution_score,temporal_validity_class,temporal_validity_final,movement_pattern,movement_evidence_score,movement_validated_score,approaching_before_spill,departing_after_spill,distance_30min_before_km,distance_15min_before_km,distance_at_spill_km,distance_15min_after_km,distance_30min_after_km,closest_distance_km,points_within_5km,points_within_10km,mean_rank,median_rank,best_rank,worst_rank,rank_std,number_scenarios,number_rank_1,rank_1_fraction,attribution_confidence
1,JUNIPER,368309480,0.5259515911538531,0.4602076422596215,PARTIALLY_VALID,0.75,DEPARTING,1.0,0.75,False,True,,,10.166032778957295,27.457987045565513,58.37554272640274,7.895339270973839,0,5,1.625,1.0,1.0,5.0,1.407885953173359,8,6,0.75,HIGH
2,TICA,338456512,0.3802511743666276,0.3802511743666276,FULLY_VALID,1.0,APPROACHING,0.7,0.7,True,False,52.14746223221453,47.33798656490354,42.850858341276684,38.10207950168764,33.35376081995523,13.728207682613498,0,0,2.0,2.0,1.0,3.0,0.5345224838248488,8,1,0.125,MODERATE
3,ANDIAMO,367691350,0.36754359514391455,0.36754359514391455,FULLY_VALID,1.0,APPROACHING,0.7,0.7,True,False,43.781101861240096,32.31554502901172,22.671852992583823,17.842266306645016,22.101477653574936,17.82549012386365,0,0,2.875,3.0,2.0,3.0,0.3535533905932738,8,0,0.0,LOW
4,KELLY C,367693690,0.352351831042625,0.352351831042625,FULLY_VALID,1.0,APPROACH_AND_DEPART,1.0,1.0,True,True,29.61586583032346,22.999912062880842,19.422282281670654,20.859073894916836,25.84010505451112,19.357514335580063,0,0,3.625,4.0,1.0,4.0,1.0606601717798212,8,1,0.125,MODERATE
5,MAHOUT,338078421,0.33201322383507714,0.33201322383507714,FULLY_VALID,1.0,APPROACHING,0.7,0.7,True,False,64.3143826514901,57.71495981372398,50.801983426765325,43.89135462769277,37.296290449984525,19.65295063677,0,0,5.125,5.0,5.0,6.0,0.3535533905932738,8,0,0.0,LOW
6,CG HALIBUT,366999662,0.32553694256198146,0.32553694256198146,FULLY_VALID,1.0,APPROACHING,0.7,0.7,True,False,61.37059882636076,54.43159203215929,47.52664657369829,41.263772357270405,34.77958036935264,19.797344965348813,0,0,6.125,6.0,6.0,7.0,0.3535533905932738,8,0,0.0,LOW
7,NEW DEL MAR,366855060,0.29130207131350605,0.29130207131350605,FULLY_VALID,1.0,APPROACH_AND_DEPART,1.0,1.0,True,True,22.775634663559643,20.00973699583544,18.814176015130514,18.852028694107783,20.650857297442762,17.4870402246505,0,0,6.625,7.0,4.0,7.0,1.0606601717798212,8,0,0.0,LOW
8,BELLA VITA,338338181,0.27430324950894047,0.27430324950894047,FULLY_VALID,1.0,APPROACHING,0.7,0.7,True,False,20.265193221214695,20.065371351018165,18.90202807117662,18.575628506198953,18.425503196171864,18.197465140342416,0,0,8.0,8.0,8.0,8.0,0.0,8,0,0.0,LOW
9,VA SANTA MONICA,368264950,0.26086126666353815,0.26086126666353815,FULLY_VALID,1.0,NO_CLEAR_MOVEMENT,0.0,0.0,False,False,36.81377456428041,45.69254951453901,49.684288961603585,46.86225601772751,48.74061291351419,18.722879358898528,0,0,9.0,9.0,9.0,9.0,0.0,8,0,0.0,LOW
10,BAYWATCH 15,338145694,0.609387342279015,0.07998208867412072,TEMPORALLY_INVALID,0.05,NO_CLEAR_MOVEMENT,0.0,0.0,False,False,,,,,,2.0104143622448207,80,100,10.0,10.0,10.0,10.0,0.0,8,0,0.0,VERY_LOW
